Name,Type,Breed,Age,Color,Shelter Name,Shelter City,Shelter State,Adoption Date
Arthur,Dog,Labrador Retriever,6,White,Whiskers and Tails Sanctuary,Feliciamouth,California,05/10/24 18:38:43
Todd,Dog,Yorkshire Terrier,15,White,Cuddle Buddies Rescue,Armstrongfort,Tennessee,05/10/24 19:14:25
Travis,Dog,Rottweiler,13,Cream,Fur-Ever Homes Shelter,Lorrainebury,Massachusetts,05/10/24 19:22:55
Aaron,Dog,Bulldog,3,Blue,Faithful Friends Animal Shelter,Port Robinborough,Minnesota,05/10/24 19:24:14
Chad,Dog,Rottweiler,8,Striped,Happy Paws Rescue,Boydmouth,Wyoming,05/10/24 19:26:20
Glenn,Dog,Beagle,3,Red,Furry Friends Haven,Johnport,Wisconsin,05/10/24 19:49:35
Ariana,Dog,Golden Retriever,14,White,Pawsitive Outcomes Rescue,Ellenshire,Texas,05/10/24 19:57:55
Lisa,Dog,Rottweiler,10,Golden,Four-Legged Friends Rescue,Charleschester,California,05/10/24 20:06:20
Stephanie,Dog,Yorkshire Terrier,13,Black,Pawsitive Outcomes Rescue,North Justinmouth,New Hampshire,05/10/24 20:22:58
Robert,Cat,Persian,4,Cream,Furry Companions Shelter,Meyerburgh,Alaska,05/10/24 20:29:04
Sarah,Cat,Persian,12,Spotted,Four-Legged Friends Rescue,Ryanhaven,Illinois,05/10/24 20:43:57
Rachel,Cat,Ragdoll,2,Spotted,Pawsitive Outcomes Rescue,Kimberlyhaven,Kansas,05/10/24 20:45:11
Steven,Cat,Persian,9,Blue,Wagging Tails Shelter,Smithberg,Virginia,05/10/24 20:50:22
Pamela,Dog,Yorkshire Terrier,10,Gray,Happy Paws Rescue,Douglasborough,Colorado,05/10/24 20:57:31
Misty,Dog,German Shepherd,13,Cream,Whiskers and Tails Sanctuary,Jillville,Hawaii,05/10/24 21:39:59
William,Dog,Beagle,12,Golden,Animal Haven Rescue,South Annetteside,West Virginia,05/10/24 22:03:50
Christopher,Dog,Labrador Retriever,5,Spotted,Barks and Meows Haven,West Tanyaland,Vermont,05/10/24 22:16:49
Nicole,Cat,Birman,9,Blue,Safe Haven Animal Shelter,Robertoview,Massachusetts,05/10/24 22:28:09
John,Dog,Beagle,3,Blue,Whiskers and Tails Sanctuary,Garciaborough,South Carolina,05/10/24 23:13:32
Tammy,Dog,Dachshund,9,Golden,Animal Haven Rescue,Lake Kristichester,Idaho,05/10/24 23:32:49
Gary,Cat,Scottish Fold,4,Striped,Barks and Meows Haven,Robertaview,Connecticut,05/10/24 23:33:41
David,Cat,Maine Coon,5,Cream,Furry Friends Haven,West Kristin,West Virginia,05/11/24 00:35:16
Jonathan,Cat,Oriental Shorthair,2,Golden,Furry Friends Haven,Bridgetview,Utah,05/11/24 00:48:15
Krista,Cat,Sphynx,7,Gray,Cuddle Buddies Rescue,Allenstad,Alabama,05/11/24 01:47:08
Taylor,Dog,Labrador Retriever,3,Spotted,Wagging Tails Shelter,North Michaelhaven,Illinois,05/11/24 01:50:58
Joan,Dog,Beagle,11,Blue,Hopeful Hearts Animal Shelter,Mosleyshire,New York,05/11/24 01:53:33
Michelle,Dog,Bulldog,14,Gray,Happy Paws Rescue,Heatherstad,Tennessee,05/11/24 02:10:39
Bryan,Dog,Bulldog,2,Black,Barks and Meows Haven,West Mikaylashire,Alabama,05/11/24 02:46:50
Rodney,Cat,Persian,3,Golden,Four-Legged Friends Rescue,South Carlachester,Virginia,05/11/24 03:19:00
Kelly,Dog,Dachshund,8,Red,Second Chance Animal Shelter,West Elizabethfurt,Wyoming,05/11/24 03:28:15
Kristi,Cat,Scottish Fold,4,Spotted,Happy Paws Rescue,Miguelview,Ohio,05/11/24 04:27:30
Melanie,Cat,Siamese,9,Cream,Paws and Claws Shelter,Lake Craig,Mississippi,05/11/24 04:29:07
Katelyn,Dog,German Shepherd,10,Striped,Whiskers and Tails Sanctuary,Port Debra,Delaware,05/11/24 04:38:28
Andrew,Cat,Siamese,8,White,Furry Friends Haven,Wendybury,Louisiana,05/11/24 04:51:15
Laura,Dog,Boxer,6,Brown,Second Chance Animal Shelter,North James,Idaho,05/11/24 05:36:12
Carlos,Cat,British Shorthair,2,Spotted,Pawsitive Outcomes Rescue,North Charlesport,Kentucky,05/11/24 05:38:26
Stephanie,Cat,Oriental Shorthair,14,Golden,Paws and Claws Shelter,New Justinton,Alaska,05/11/24 05:41:25
Jason,Dog,Labrador Retriever,8,Golden,Wagging Tails Shelter,Chandlerborough,Georgia,05/11/24 05:59:48
Ashley,Cat,Ragdoll,3,Cream,Four-Legged Friends Rescue,East Charles,Alaska,05/11/24 05:59:51
Brian,Cat,Persian,3,Blue,Whiskers and Tails Sanctuary,East Danielle,Virginia,05/11/24 06:44:11
Christopher,Dog,Labrador Retriever,4,Cream,Animal Haven Rescue,Torresberg,Colorado,05/11/24 06:58:01
Melissa,Cat,Oriental Shorthair,3,Blue,Safe Haven Animal Shelter,Port Joshua,Illinois,05/11/24 07:32:47
Roger,Cat,Persian,2,Brown,Cuddle Buddies Rescue,Tannerstad,Nevada,05/11/24 07:33:57
David,Cat,Scottish Fold,5,Golden,Hopeful Hearts Animal Shelter,Bowenborough,Minnesota,05/11/24 07:50:28
Sierra,Cat,Persian,13,Blue,Cuddle Buddies Rescue,Wangfurt,South Dakota,05/11/24 08:09:21
Angela,Cat,Scottish Fold,13,Spotted,Safe Haven Animal Shelter,East Jacobtown,Florida,05/11/24 08:21:24
Kristin,Dog,Poodle,1,Cream,Second Chance Animal Shelter,Lake Annette,Oregon,05/11/24 09:01:59
Tracy,Dog,Golden Retriever,7,Cream,Pawsitive Outcomes Rescue,South Josephchester,Idaho,05/11/24 09:50:51
Tanya,Dog,Dachshund,13,White,Furry Friends Haven,Tylerberg,Indiana,05/11/24 09:55:48
Nicole,Dog,Yorkshire Terrier,13,Gray,Hopeful Hearts Animal Shelter,Jamietown,Florida,05/11/24 10:10:30
Sandra,Cat,Persian,14,Golden,Loving Paws Rescue,Alvinfort,California,05/11/24 10:11:51
Craig,Dog,Boxer,11,Spotted,Second Chance Animal Shelter,Fordstad,New York,05/11/24 10:24:45
Travis,Dog,Poodle,9,Spotted,Safe Haven Animal Shelter,North Robinbury,Florida,05/11/24 10:32:12
Latasha,Dog,Dachshund,10,Blue,Hopeful Hearts Animal Shelter,Wallaceburgh,Tennessee,05/11/24 11:22:45
Albert,Dog,Yorkshire Terrier,15,Striped,Second Chance Animal Shelter,Wilsonhaven,Wyoming,05/11/24 11:57:04
Emily,Dog,Boxer,2,Brown,Hopeful Hearts Animal Shelter,North Jennashire,Indiana,05/11/24 12:43:44
Samantha,Dog,Rottweiler,2,Golden,Wagging Tails Shelter,Port Taraborough,Texas,05/11/24 12:44:08
Sylvia,Cat,Maine Coon,2,Spotted,Animal Haven Rescue,North Meaganmouth,Oklahoma,05/11/24 12:44:50
Taylor,Cat,Sphynx,8,Gray,Faithful Friends Animal Shelter,Joshuabury,California,05/11/24 12:45:41
Kevin,Dog,Yorkshire Terrier,1,Black,Faithful Friends Animal Shelter,South Ann,Wisconsin,05/11/24 12:50:44
Bonnie,Dog,Dachshund,15,Red,Cuddle Buddies Rescue,Stephanieport,Delaware,05/11/24 12:56:35
Meghan,Dog,Golden Retriever,2,Gray,Rescue Me Animal Shelter,Gonzalezview,Virginia,05/11/24 12:58:18
Melissa,Dog,Dachshund,6,White,Cuddle Buddies Rescue,Donaldfort,Arizona,05/11/24 13:04:10
Jonathan,Dog,Boxer,14,Spotted,Furry Friends Haven,Frankview,Delaware,05/11/24 13:07:41
Gregory,Dog,German Shepherd,4,Black,Pawsitive Outcomes Rescue,North Nicholas,Pennsylvania,05/11/24 13:21:11
Phyllis,Dog,German Shepherd,6,Red,Wagging Tails Shelter,Schultzview,Montana,05/11/24 13:22:55
David,Dog,Boxer,10,Cream,Pawsitive Outcomes Rescue,Rickyland,Montana,05/11/24 13:37:21
Victor,Cat,Sphynx,7,Brown,Rescue Me Animal Shelter,West Marybury,Georgia,05/11/24 14:06:12
Kathleen,Dog,German Shepherd,15,Red,Rescue Me Animal Shelter,Port Jean,Mississippi,05/11/24 14:07:28
Gina,Dog,Beagle,10,Striped,Faithful Friends Animal Shelter,New Zacharymouth,Missouri,05/11/24 14:20:01
Christina,Dog,Rottweiler,7,Golden,Cuddle Buddies Rescue,Traceystad,Utah,05/11/24 14:40:40
Jeffrey,Dog,Rottweiler,11,Spotted,Happy Paws Rescue,Lake Michelle,Colorado,05/11/24 14:53:24
Evelyn,Dog,German Shepherd,8,Red,Paws and Claws Shelter,Charlesbury,Pennsylvania,05/11/24 15:15:33
Patricia,Dog,Rottweiler,5,Blue,Cuddle Buddies Rescue,Samuelview,Vermont,05/11/24 15:27:44
Kimberly,Cat,Birman,14,Spotted,Hopeful Hearts Animal Shelter,Ericbury,West Virginia,05/11/24 16:18:14
Cynthia,Cat,Scottish Fold,2,Striped,Loving Paws Rescue,South Jesus,North Dakota,05/11/24 16:21:19
John,Cat,Birman,14,Black,Loving Paws Rescue,Johnsonbury,Maine,05/11/24 16:30:05
Isaac,Cat,Siamese,6,Spotted,Cuddle Buddies Rescue,Butlermouth,Nevada,05/11/24 16:46:00
Joshua,Dog,Beagle,1,Cream,Faithful Friends Animal Shelter,Robertsonhaven,Maine,05/11/24 17:14:59
Tracy,Dog,Golden Retriever,5,Red,Wagging Tails Shelter,South Ellenhaven,Minnesota,05/11/24 17:18:20
Timothy,Dog,Rottweiler,8,Spotted,Animal Haven Rescue,Harristown,West Virginia,05/11/24 17:35:04
Daniel,Dog,Golden Retriever,7,Golden,Pet Haven Rescue,East Kristy,Oklahoma,05/11/24 17:38:29
Sara,Dog,Labrador Retriever,11,Brown,Barks and Meows Haven,Darrenhaven,Vermont,05/11/24 17:38:51
Ashley,Dog,Rottweiler,5,Cream,Furever Friends Sanctuary,Port Kendra,Oklahoma,05/11/24 17:56:00
Carl,Dog,Bulldog,4,Black,Faithful Friends Animal Shelter,Josephchester,Arizona,05/11/24 18:32:56
Kristin,Cat,Maine Coon,4,White,Happy Paws Rescue,Timothyfurt,Indiana,05/11/24 18:48:06
Steven,Cat,Maine Coon,8,Black,Fur-Ever Homes Shelter,Lake Craig,Oklahoma,05/11/24 19:40:27
Nicholas,Cat,Scottish Fold,9,Golden,Happy Paws Rescue,Johnsonburgh,Arizona,05/11/24 19:47:14
Mary,Dog,Rottweiler,1,Red,Faithful Friends Animal Shelter,New Marcus,Tennessee,05/11/24 20:22:19
Matthew,Dog,Yorkshire Terrier,4,Blue,Animal Haven Rescue,South Heather,West Virginia,05/11/24 20:28:48
Sarah,Cat,Maine Coon,3,Spotted,Rescue Me Animal Shelter,Andrewberg,Texas,05/11/24 20:39:12
Donna,Dog,German Shepherd,6,Spotted,Pet Haven Rescue,West Sarahland,Michigan,05/11/24 21:35:57
Tiffany,Cat,Sphynx,14,Black,Fur-Ever Homes Shelter,Rowefort,Connecticut,05/11/24 21:45:38
John,Cat,Maine Coon,7,White,Furry Companions Shelter,Nicolasville,Pennsylvania,05/11/24 21:52:12
Sean,Cat,Persian,7,Brown,Four-Legged Friends Rescue,West Christinabury,Rhode Island,05/11/24 22:14:00
Kyle,Cat,British Shorthair,3,Golden,Second Chance Animal Shelter,Grahamchester,New York,05/11/24 22:22:18
Laura,Dog,German Shepherd,11,Black,Hopeful Hearts Animal Shelter,Port Melissa,Oklahoma,05/11/24 22:42:15
Victoria,Cat,Abyssinian,8,White,Pawsitive Outcomes Rescue,Port Sandra,Massachusetts,05/11/24 22:50:02
Jeffrey,Dog,Golden Retriever,8,Spotted,Whiskers and Tails Sanctuary,Michaelton,Minnesota,05/11/24 23:01:30
Travis,Cat,Birman,5,Blue,Rescue Me Animal Shelter,West Andrew,Connecticut,05/11/24 23:34:05
Christopher,Dog,German Shepherd,4,Gray,Furry Companions Shelter,West Frank,Alaska,05/11/24 23:42:11
Lori,Dog,Rottweiler,14,Spotted,Pet Haven Rescue,West Raymondberg,Missouri,05/11/24 23:51:16
Deborah,Cat,Persian,14,Red,Happy Paws Rescue,West Kathryn,Hawaii,05/12/24 00:27:10
Amy,Dog,Golden Retriever,11,White,Rescue Me Animal Shelter,Ashleyfort,New York,05/12/24 00:36:52
Maria,Dog,Dachshund,1,Golden,Second Chance Animal Shelter,Lake Jennifer,New Hampshire,05/12/24 00:39:36
Sheena,Cat,Abyssinian,3,Brown,Hopeful Hearts Animal Shelter,West Michael,Arkansas,05/12/24 01:10:36
Jamie,Dog,Golden Retriever,6,White,Whiskers and Tails Sanctuary,Christianport,Tennessee,05/12/24 01:13:38
Michelle,Dog,Beagle,14,Brown,Pet Haven Rescue,Andersonbury,Massachusetts,05/12/24 01:40:47
Lisa,Dog,Golden Retriever,5,Blue,Furever Friends Sanctuary,West Ethan,New York,05/12/24 02:05:10
Roy,Dog,Yorkshire Terrier,10,Golden,Furry Companions Shelter,Holderborough,Virginia,05/12/24 02:05:29
Karen,Cat,Siamese,11,Brown,Furry Friends Haven,New Stephanie,South Dakota,05/12/24 02:41:23
Becky,Cat,Scottish Fold,11,Blue,Second Chance Animal Shelter,Olsonton,Wyoming,05/12/24 02:57:42
Samuel,Cat,Sphynx,8,White,Faithful Friends Animal Shelter,North Laura,North Dakota,05/12/24 03:27:45
Laura,Cat,Oriental Shorthair,9,Red,Fur-Ever Homes Shelter,Watkinston,New Jersey,05/12/24 03:37:18
Joshua,Dog,Yorkshire Terrier,2,Golden,Barks and Meows Haven,Jacobsland,Illinois,05/12/24 03:44:30
Angela,Cat,Abyssinian,8,Brown,Furry Companions Shelter,New Elizabeth,Pennsylvania,05/12/24 03:47:00
Jeffrey,Cat,Oriental Shorthair,7,Spotted,Wagging Tails Shelter,Allenstad,Tennessee,05/12/24 04:49:48
Julia,Cat,Sphynx,8,Blue,Hopeful Hearts Animal Shelter,South James,Vermont,05/12/24 05:05:36
Eric,Cat,Birman,2,Black,Furever Friends Sanctuary,North Donnaville,North Dakota,05/12/24 05:24:18
Rebecca,Cat,Maine Coon,7,Striped,Four-Legged Friends Rescue,South Sarah,Rhode Island,05/12/24 06:27:00
Steven,Cat,Birman,10,White,Loving Paws Rescue,Kellyville,Delaware,05/12/24 06:43:03
Denise,Cat,Sphynx,14,Cream,Happy Paws Rescue,Brennanhaven,South Carolina,05/12/24 06:44:04
Kristen,Dog,Boxer,4,Striped,Wagging Tails Shelter,West Heidiside,Montana,05/12/24 06:45:43
Cody,Cat,Sphynx,13,Blue,Rescue Me Animal Shelter,Lake Markhaven,Montana,05/12/24 07:40:18
Frank,Cat,Sphynx,14,Blue,Four-Legged Friends Rescue,Kennethhaven,Wisconsin,05/12/24 07:42:15
Shari,Cat,Ragdoll,14,Cream,Wagging Tails Shelter,Port Timothyton,Alaska,05/12/24 08:33:39
Brian,Cat,Birman,3,Brown,Loving Paws Rescue,Ericchester,Wyoming,05/12/24 08:39:14
Kirsten,Dog,Boxer,4,Gray,Furever Friends Sanctuary,Brayport,Tennessee,05/12/24 08:42:00
Adrian,Dog,Rottweiler,2,Gray,Second Chance Animal Shelter,East Joshuashire,Florida,05/12/24 08:47:01
Donna,Dog,Dachshund,6,Cream,Furever Friends Sanctuary,Diazstad,Connecticut,05/12/24 08:53:58
Catherine,Cat,Abyssinian,9,Brown,Second Chance Animal Shelter,Port Danielstad,Colorado,05/12/24 09:56:15
Renee,Dog,Rottweiler,10,Black,Safe Haven Animal Shelter,New Maryburgh,Indiana,05/12/24 10:29:51
Andrea,Cat,Sphynx,1,Brown,Fur-Ever Homes Shelter,Port James,Mississippi,05/12/24 10:49:45
Shannon,Cat,British Shorthair,4,Spotted,Barks and Meows Haven,North Christina,Vermont,05/12/24 10:50:50
Brian,Cat,Abyssinian,9,Gray,Pet Haven Rescue,New Donald,Kentucky,05/12/24 10:59:36
Austin,Cat,Oriental Shorthair,10,Blue,Animal Haven Rescue,South Juanhaven,Montana,05/12/24 11:06:03
William,Cat,Scottish Fold,9,Red,Fur-Ever Homes Shelter,North Julia,Delaware,05/12/24 11:24:48
Donna,Dog,Poodle,15,Golden,Cuddle Buddies Rescue,Acostaside,North Dakota,05/12/24 11:26:06
Catherine,Dog,Dachshund,13,Striped,Whiskers and Tails Sanctuary,Lake Nicole,Arkansas,05/12/24 11:28:19
Allison,Cat,Birman,10,White,Furry Friends Haven,Carterburgh,New York,05/12/24 11:59:50
Whitney,Dog,Dachshund,1,Black,Furry Companions Shelter,Lake Charles,California,05/12/24 12:01:18
Shannon,Cat,Siamese,11,Spotted,Hopeful Hearts Animal Shelter,Jasonmouth,Kansas,05/12/24 12:22:51
Jesus,Cat,Birman,15,Gray,Furever Friends Sanctuary,Rodriguezfort,Utah,05/12/24 12:28:27
Robert,Cat,Birman,4,Red,Faithful Friends Animal Shelter,Lopezville,Georgia,05/12/24 12:49:32
Steven,Dog,Rottweiler,12,Cream,Loving Paws Rescue,Robertside,Washington,05/12/24 12:54:02
Holly,Dog,Yorkshire Terrier,7,Black,Loving Paws Rescue,Kathrynbury,Pennsylvania,05/12/24 12:54:16
Peter,Cat,Persian,3,Cream,Paws and Claws Shelter,West Thomasport,North Carolina,05/12/24 13:26:32
Kevin,Dog,Poodle,12,Spotted,Wagging Tails Shelter,Tashaberg,Kansas,05/12/24 13:37:59
Stephanie,Cat,Scottish Fold,10,White,Pet Haven Rescue,Port Michellefort,New Hampshire,05/12/24 15:01:09
Glenn,Dog,Poodle,1,Striped,Furry Companions Shelter,Franciscotown,West Virginia,05/12/24 15:15:48
Randall,Cat,Abyssinian,14,Brown,Hopeful Hearts Animal Shelter,Jamesborough,Massachusetts,05/12/24 15:24:18
Christopher,Cat,Oriental Shorthair,5,Blue,Furry Friends Haven,East Cynthiaburgh,Rhode Island,05/12/24 16:05:43
Peter,Dog,Boxer,12,Golden,Hopeful Hearts Animal Shelter,Lake Sharon,Oregon,05/12/24 16:08:49
Katherine,Dog,Dachshund,2,Striped,Pet Haven Rescue,Johnville,Missouri,05/12/24 16:33:07
Ann,Dog,Beagle,2,Golden,Wagging Tails Shelter,North Joseph,Maine,05/12/24 16:51:06
Bradley,Dog,German Shepherd,13,Cream,Furry Friends Haven,North Brentborough,South Carolina,05/12/24 17:37:11
Kevin,Dog,Beagle,9,Golden,Hopeful Hearts Animal Shelter,South Amanda,Illinois,05/12/24 17:37:40
Jacob,Cat,Oriental Shorthair,4,Blue,Barks and Meows Haven,Lewisborough,Arkansas,05/12/24 18:04:49
Kristi,Dog,Rottweiler,14,Spotted,Barks and Meows Haven,New Paul,Arkansas,05/12/24 18:25:39
Brenda,Cat,Oriental Shorthair,11,Cream,Happy Paws Rescue,Moranborough,Louisiana,05/12/24 18:46:30
Christopher,Dog,Yorkshire Terrier,5,Spotted,Furever Friends Sanctuary,Robertside,West Virginia,05/12/24 19:15:09
Eduardo,Dog,Boxer,5,Golden,Furever Friends Sanctuary,South Jameston,Illinois,05/12/24 19:17:18
Pamela,Dog,Labrador Retriever,9,White,Safe Haven Animal Shelter,Millsbury,Arkansas,05/12/24 19:26:44
Melissa,Cat,Oriental Shorthair,10,Black,Pet Haven Rescue,East Adambury,South Carolina,05/12/24 19:37:31
Madeline,Cat,Abyssinian,14,Black,Loving Paws Rescue,Hernandezfort,Idaho,05/12/24 19:53:00
Virginia,Cat,Scottish Fold,2,Blue,Furry Friends Haven,Johnbury,Maryland,05/12/24 20:04:00
Nicholas,Cat,Ragdoll,10,Golden,Animal Haven Rescue,Morrisview,Massachusetts,05/12/24 20:12:22
Stephen,Dog,Rottweiler,9,Golden,Whiskers and Tails Sanctuary,Makaylamouth,Alaska,05/12/24 20:41:43
Maria,Dog,Dachshund,13,Red,Barks and Meows Haven,New Michaelfort,Iowa,05/12/24 20:57:45
Casey,Dog,Labrador Retriever,9,Striped,Fur-Ever Homes Shelter,Waltersport,Kentucky,05/12/24 21:39:30
Kimberly,Dog,Rottweiler,14,Gray,Rescue Me Animal Shelter,Townsendside,Connecticut,05/12/24 22:15:34
Jessica,Cat,Ragdoll,2,Black,Second Chance Animal Shelter,Dylanmouth,Vermont,05/12/24 22:59:42
Joel,Cat,Scottish Fold,11,Black,Fur-Ever Homes Shelter,Lake John,Wisconsin,05/12/24 23:54:41
Sarah,Dog,Poodle,15,Red,Whiskers and Tails Sanctuary,New Robertstad,Missouri,05/13/24 00:00:28
Sarah,Dog,Boxer,8,Spotted,Second Chance Animal Shelter,Port Kimberlystad,Colorado,05/13/24 00:18:48
Lee,Dog,Beagle,8,Spotted,Barks and Meows Haven,Jamietown,Ohio,05/13/24 00:32:57
Nicholas,Cat,Ragdoll,13,Gray,Pawsitive Outcomes Rescue,West Jessicafort,Alaska,05/13/24 00:35:19
Michael,Dog,Yorkshire Terrier,5,Red,Pawsitive Outcomes Rescue,Kennedyborough,West Virginia,05/13/24 00:47:45
Reginald,Dog,Dachshund,1,Black,Furry Friends Haven,Port Tamaraton,Pennsylvania,05/13/24 00:49:08
Roger,Dog,Beagle,12,Golden,Rescue Me Animal Shelter,Rhodesview,Missouri,05/13/24 00:58:15
Luis,Cat,Maine Coon,4,White,Safe Haven Animal Shelter,Lake Andre,Vermont,05/13/24 01:04:40
Robert,Dog,Beagle,12,Brown,Whiskers and Tails Sanctuary,New Michelle,Hawaii,05/13/24 01:37:42
Lisa,Cat,Sphynx,6,Golden,Furry Companions Shelter,Angelastad,Colorado,05/13/24 02:27:03
Dennis,Cat,Ragdoll,7,Red,Loving Paws Rescue,North Mathewborough,Alaska,05/13/24 02:37:11
Scott,Cat,Abyssinian,5,Striped,Second Chance Animal Shelter,Lake Lynnhaven,Kentucky,05/13/24 03:18:11
Caitlin,Cat,Siamese,1,Brown,Animal Haven Rescue,East Brian,Delaware,05/13/24 03:29:24
Christina,Cat,Persian,5,Red,Furry Friends Haven,Lake Anthonyton,Tennessee,05/13/24 04:10:36
Deborah,Dog,Rottweiler,15,Brown,Furever Friends Sanctuary,Johnsonton,Hawaii,05/13/24 04:14:31
Kristen,Dog,Labrador Retriever,8,Golden,Barks and Meows Haven,East Seanland,Arkansas,05/13/24 04:16:57
Wanda,Dog,German Shepherd,13,Blue,Wagging Tails Shelter,South Jacob,New York,05/13/24 04:52:18
Kelsey,Cat,Maine Coon,7,Brown,Paws and Claws Shelter,Jenningsport,Arkansas,05/13/24 05:34:36
Kyle,Dog,German Shepherd,9,Gray,Cuddle Buddies Rescue,Johnsshire,Maryland,05/13/24 05:48:38
Donald,Dog,Beagle,1,Cream,Animal Haven Rescue,New Joyburgh,Alabama,05/13/24 06:17:32
Nicole,Dog,Labrador Retriever,14,White,Whiskers and Tails Sanctuary,New Christina,Delaware,05/13/24 07:23:22
Joshua,Dog,Boxer,3,Brown,Second Chance Animal Shelter,Bennettmouth,New York,05/13/24 07:29:39
Michael,Cat,Birman,9,Blue,Four-Legged Friends Rescue,Joshuaborough,Louisiana,05/13/24 07:35:38
Karla,Cat,Ragdoll,1,Spotted,Faithful Friends Animal Shelter,Jasonhaven,New York,05/13/24 07:45:02
Joshua,Dog,Dachshund,8,Blue,Safe Haven Animal Shelter,Port Jeffreyside,Idaho,05/13/24 08:03:56
Todd,Dog,Poodle,15,Brown,Fur-Ever Homes Shelter,Lawsonborough,Illinois,05/13/24 08:20:46
Laurie,Cat,Siamese,1,Cream,Barks and Meows Haven,South Pamela,Illinois,05/13/24 08:41:20
Valerie,Cat,Maine Coon,8,Striped,Fur-Ever Homes Shelter,South Davidburgh,Louisiana,05/13/24 08:55:44
Dustin,Cat,Abyssinian,13,Red,Pawsitive Outcomes Rescue,New Arthur,South Dakota,05/13/24 09:09:24
Ashley,Dog,Boxer,14,Cream,Furry Friends Haven,Davidview,Utah,05/13/24 09:12:12
Jessica,Cat,Oriental Shorthair,1,Black,Happy Paws Rescue,North Isabel,Nevada,05/13/24 09:16:21
